SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-low,146,0.40000000000000036,-0.34,4.0441371547304276e-14,-0.050000000000000044
pHFC_S.pB10-low,147,0.6000000000000005,-0.34,6.409525445911313e-14,-0.050000000000000044
pHFC_S.pB10-low,148,0.8000000000000007,-0.34,1.0158413246131127e-13,-0.050000000000000044
pHFC_S.pB10-low,149,1,-0.34,1.61e-13,-0.050000000000000044
pHFC_S.pB10-low,150,1.2000000000000002,-0.34,2.5516780398623937e-13,-0.050000000000000044
pHFC_S.pB10-low,151,1.4000000000000004,-0.34,4.044137154730427e-13,-0.050000000000000044
pHFC_S.pB10-low,152,1.6000000000000005,-0.34,6.409525445911314e-13,-0.050000000000000044
pHFC_S.pB10-low,153,1.8000000000000007,-0.34,1.0158413246131127e-12,-0.050000000000000044
pHFC_S.pB10-low,154,2,-0.34,1.6099999999999998e-12,-0.050000000000000044
pHFC_S.pB10-low,155,2.2,-0.34,2.551678039862394e-12,-0.050000000000000044
pHFC_S.pB10-low,156,2.4000000000000004,-0.34,4.044137154730427e-12,-0.050000000000000044
pHFC_S.pB10-low,157,2.6000000000000005,-0.34,6.409525445911313e-12,-0.050000000000000044
